Plant Name,Capacity (MW),Project Status,Year of Commission,Technology,State,Country,Region,Estimated Annual CO2 Emission from Power Generation (1000 ton),Deal type,FDI?,Investing Company,Investing Country Ownership %,FDI Deal Type,Involving Chinese Policy bank?,Lender,Borrower,Source ,,,,,,
Abuela Santa Marta,38,In Operation,2007,Wind,Albacete,SPAIN,Europe/Central Asia,0,Greenfield,Yes,Metallurgical Corporation of China,NA,Greenfield,No,NA,NA,Platts,,,,,,
Acor,20,In Operation,2013,Wind,Coimbra,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Adama Wind 1,51,In Operation,2012,Wind,Misraq Shewa,ETHIOPIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,http://www.ecreee.org/sites/default/files/event-att/cv_ecowas_goldwind_presentation.pdf,,,,,,
Adama Wind 2,153,In Operation,2016,Wind,Misraq Shewa,ETHIOPIA,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://china.aiddata.org/projects/1380,,,,,,
Adipala,700,In Operation,2015,Coal,Central Java,INDONESIA,Southeast Asia,3579,Policy bank only,No,NA,NA,NA,Yes,CDB,Government,"https://www.sourcewatch.org/index.php/Adipala_power_station,https://www.djppr.kemenkeu.go.id/uploads/files/dmodata/in/6Publikasi/09Kontinjensi/ta2018q1.pdf",,,,,,
Adjarala (Mono River),147,Under Construction,2020,Hydropower,Maritime,TOGO,Africa,0,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government (joint),"https://www.hydroworld.com/articles/2009/05/china-builder-to-construct-togos-147-mw-adjarala.html,https://www.thediscourse.ca/energy/will-massive-dam-solve-togo-benins-energy-crisis,https://www.africa-energy.com/article/benin-sinohydro-start-work-adjarala",,,,,,
Afton Reservoir,50,In Operation,2018,Wind,East Ayrshire,UK,Europe/Central Asia,0,M&A,Yes,State Development and Investment,Not Found,M&A,No,NA,NA,"https://www.redrockpower.co.uk/project-afton/ , https://renews.biz/50045/red-rock-makes-onshore-move/",,,,,,
Agua Doce Cenaeel,9,In Operation,2015,Wind,SC,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,Dealogic,,,,,,
Aguascalientes Potencia-1,68,In Operation,2019,Solar,AGS,MEXICO,LAC,0,Greenfield,Yes,Canadian Solar,Not Found,Greenfield,No,NA,NA,"https://www.bloomberg.com/press-releases/2019-05-23/canadian-solar-completes-sale-of-aguascalientes-solar-project-to-blackrock , https://www.pv-tech.org/news/blackrock-snaps-up-canadian-solars-68mw-mexican-plant , https://www.power-technology.com/news/canadian-solar-plant-in-mexico/",,,,,,
Alam Banshkhali,1320,Under Planning,Pending,Coal,Chittagong,BANGLADESH,South Asia,6654,Greenfield,Yes,PowerChina,Not found,Greenfield,No,NA,NA,https://en.wikipedia.org/wiki/Banshkhali_power_plant_movement,,,,,,
Alor Gajah (Melaka),2242,Under Construction,2016,Gas,Melaka,MALAYSIA,Southeast Asia,6669,M&A,Yes,China General Nuclear Power Group,100,M&A,No,NA,NA,"https://www.reuters.com/article/us-malaysia-1mdb/malaysias-1mdb-sells-power-assets-to-china-firm-for-2-3-billion-idUSKBN0TC0PT20151123,  http://www.edra.energy/overview, http://www.edra.energy/portfolio-of-assets , http://www.edra.energy/malaysia",,,,,,
Alto Da Coutada-Ii,44,In Operation,2013,Wind,Vila Real,PORTUGAL,Europe/Central Asia,0,Greenfield,Yes,China Three Gorges Corporation,50,Greenfield,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Alto Do Talefe,12,In Operation,2013,Wind,Viseu,PORTUGAL,Europe/Central Asia,0,M&A,Yes,China Three Gorges Corporation,50,M&A,No,NA,NA,http://old.sasac.gov.cn/n1808314/n2106300/n2106317/c2264904/content.html,,,,,,
Alto Irani,21,In Operation,2017,Hydropower,SC,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Alvorada,50,In Operation,2017,Biomass,MG,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,http://ri.cpflrenovaveis.com.br/show.aspx?idMateria=ptfJMmp/lbDmnrptx5yBMg==,http://ri.cpflrenovaveis.com.br/show.aspx?idMateria=ptfJMmp/lbDmnrptx5yBMg==,,,,,
Americana,30,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,State Grid Corporation of China,95,M&A,No,NA,NA,https://macauhub.com.mo/zh/2017/12/01/pt-grupo-china-state-grid-controla-9476-do-capital-da-brasileira-cpfl-energia/,,,,,,
Angren,150,In Operation,2016,Coal,Tashkent,UZBEKISTAN,Europe/Central Asia,756,Policy bank only,No,NA,NA,NA,Yes,Ex-Im Bank,Government,https://www.sourcewatch.org/index.php/Angren_power_station,,,,,,
Anpara-C,1200,In Operation,2011,Coal,Uttar Pradesh,INDIA,South Asia,10520,Policy bank only,No,NA,NA,NA,Yes,CDB,Lanco Group,https://www.livemint.com/Companies/TkqKfa16u8tW78ZsRze0jL/Lanco-Infra-to-raise-2-bn-from-China-Development-Bank.html,,,,,,
Aomori Rokunohe,10,In Operation,2016,Solar,Aomori,JAPAN,East Asia,0,Greenfield,Yes,Canadian Solar,100,Greenfield,No,NA,NA,,,,,,,
Aprilia Biosar,8,In Operation,2012,Solar,,ITALY,Europe/Central Asia,0,Greenfield,Yes,Suntech,NA,Greenfield,No,NA,NA,,,,,,,
Arica Solar,18,Under Planning,Pending,Solar,I Region,CHILE,LAC,0,Policy bank only,No,NA,NA,NA,Yes,CDB,Sky Solar and Sigdo Koppers,http://www.pvnews.cn/qiyedongtai/2014-03-06/96715.html,,,,,,
Armando A Lydner,98,In Operation,2017,Hydropower,SP,BRAZIL,LAC,0,M&A,Yes,China Three Gorges Corporation,100,M&A,No,NA,NA,http://world.people.com.cn/n1/2016/1012/c1002-28770313.html,,,,,,
Asahan-I,185,In Operation,2010,Hydropower,North Sulawesi,INDONESIA,Southeast Asia,0,Greenfield,Yes,China Huadian Corporation,NA,Greenfield,No,NA,NA,"http://ppi.worldbank.org/snapshots/project/asahan-i-hydropower-plant-4229 , http://www.asean-china-center.org/english/2010-08/30/c_13469626.htm",,,,,,
Aspartia Solar,18,In Operation,2016,Solar,Cumbria,UK,Europe/Central Asia,0,M&A,Yes,Panda Green Energy Group,100,M&A,No,NA,NA,,,,,,,
Astro Boogeo-Seom,6,In Operation,2011,Solar,Gangwon-do,SOUTH KOREA,East Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
Astro Jeju,17,In Operation,2017,Solar,Jeju-do,SOUTH KOREA,East Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
Astro Osmaniye,19,In Operation,2017,Solar,Osmaniye,TURKEY,Europe/Central Asia,0,Greenfield,Yes,Chint,100,Greenfield,No,NA,NA,,,,,,,
