Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO₂e‍),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,15.2128,15.2128,2.915,9.3116,2.9841,0.0022,2.915,9.3116,2.9841,3.774,0.0571,7.3427,4.039,0,,,,,,1.2422
Afghanistan,1991,15.2864,15.2864,2.6844,9.5162,3.0822,0.0036,2.6844,9.5162,3.0822,3.3768,0.0586,7.631,4.22,0,,,,,,1.0209
Afghanistan,1992,14.0105,14.0105,1.3923,9.5715,3.0417,0.005,1.3923,9.5715,3.0417,1.9143,0.0637,7.6314,4.4011,0,,,,,,0.6026
Afghanistan,1993,14.0281,14.0281,1.3227,9.6099,3.0891,0.0065,1.3227,9.6099,3.0891,1.6781,0.0651,7.7027,4.5822,0,,,,,,0.414
Afghanistan,1994,13.9854,13.9854,1.2677,9.789,2.9207,0.0079,1.2677,9.789,2.9207,1.4565,0.0665,7.6991,4.7633,0,,,,,,0.2473
Afghanistan,1995,14.3349,14.3349,1.2201,10.0578,3.0477,0.0093,1.2201,10.0578,3.0477,1.2422,0.068,8.0804,4.9444,0,,,,,,0.0807
Afghanistan,1996,15.3232,15.3232,1.1542,10.8648,3.287,0.0173,1.1542,10.8648,3.287,1.1795,0.0759,8.9693,5.0984,0,,,,,,0.084
Afghanistan,1997,16.2845,16.2845,1.0699,11.5781,3.6113,0.0253,1.0699,11.5781,3.6113,1.0986,0.0839,9.8496,5.2525,0,,,,,,0.0873
Afghanistan,1998,17.1244,17.1244,1.0149,12.1552,3.9211,0.0332,1.0149,12.1552,3.9211,1.0469,0.0918,10.5792,5.4065,0,,,,,,0.0906
Afghanistan,1999,18.0006,18.0006,0.7988,12.9502,4.2104,0.0412,0.7988,12.9502,4.2104,0.8341,0.0998,11.5061,5.5606,0,,,,,,0.0939
Afghanistan,2000,16.496,16.496,0.7511,12.0279,3.6678,0.0491,0.7511,12.0279,3.6678,0.8227,0.0748,9.8839,5.7146,0,,,,,,0.0973
Afghanistan,2001,15.2094,15.2094,0.7951,11.0993,3.2506,0.0644,0.7951,11.0993,3.2506,0.8504,0.0901,8.3735,5.8954,0,,,,,,0.081
Afghanistan,2002,17.6991,17.6991,1.0699,12.7673,3.7821,0.0798,1.0699,12.7673,3.7821,1.1053,0.1091,10.4085,6.0762,0,,,,,,0.0647
Afghanistan,2003,18.4304,18.4304,1.1945,13.1563,3.9847,0.0951,1.1945,13.1563,3.9847,1.2063,0.1317,10.8355,6.257,0,,,,,,0.0485
Afghanistan,2004,18.1513,18.1513,0.949,13.1919,3.9001,0.1104,0.949,13.1919,3.9001,0.9445,0.147,10.622,6.4378,0,,,,,,0.0322
